arm,group,dataset,subject,seed,protocol,token,ends_at_ms,test_acc
reader,cohort,2a,3,2026,within,24,3072.0,92.7083
reader,cohort,2a,3,2026,within,25,3200.0,92.3611
reader,cohort,2a,3,2026,within,26,3328.0,92.3611
reader,cohort,2a,3,2026,within,27,3456.0,92.3611
reader,cohort,2a,3,2026,within,28,3584.0,90.625
reader,cohort,2a,3,2026,within,29,3712.0,94.0972
reader,cohort,2a,3,2026,within,30,3840.0,93.0556
reader,cohort,2a,3,2026,within,31,3968.0,94.7917
reader,cohort,2a,3,2026,within,32,4096.0,96.875
reader,cohort,2a,3,2027,within,1,128.0,26.3889
reader,cohort,2a,3,2027,within,2,256.0,39.9306
reader,cohort,2a,3,2027,within,3,384.0,45.8333
reader,cohort,2a,3,2027,within,4,512.0,48.2639
reader,cohort,2a,3,2027,within,5,640.0,51.3889
reader,cohort,2a,3,2027,within,6,768.0,64.9306
reader,cohort,2a,3,2027,within,7,896.0,65.9722
reader,cohort,2a,3,2027,within,8,1024.0,75.6944
reader,cohort,2a,3,2027,within,9,1152.0,85.0694
reader,cohort,2a,3,2027,within,10,1280.0,85.7639
reader,cohort,2a,3,2027,within,11,1408.0,87.5
reader,cohort,2a,3,2027,within,12,1536.0,88.8889
reader,cohort,2a,3,2027,within,13,1664.0,90.625
reader,cohort,2a,3,2027,within,14,1792.0,91.6667
reader,cohort,2a,3,2027,within,15,1920.0,91.6667
reader,cohort,2a,3,2027,within,16,2048.0,94.4444
reader,cohort,2a,3,2027,within,17,2176.0,94.4444
reader,cohort,2a,3,2027,within,18,2304.0,95.8333
reader,cohort,2a,3,2027,within,19,2432.0,95.8333
reader,cohort,2a,3,2027,within,20,2560.0,95.4861
reader,cohort,2a,3,2027,within,21,2688.0,95.1389
reader,cohort,2a,3,2027,within,22,2816.0,94.4444
reader,cohort,2a,3,2027,within,23,2944.0,94.4444
reader,cohort,2a,3,2027,within,24,3072.0,95.1389
reader,cohort,2a,3,2027,within,25,3200.0,93.75
reader,cohort,2a,3,2027,within,26,3328.0,94.7917
reader,cohort,2a,3,2027,within,27,3456.0,94.7917
reader,cohort,2a,3,2027,within,28,3584.0,95.4861
reader,cohort,2a,3,2027,within,29,3712.0,96.1806
reader,cohort,2a,3,2027,within,30,3840.0,95.8333
reader,cohort,2a,3,2027,within,31,3968.0,96.875
reader,cohort,2a,3,2027,within,32,4096.0,95.1389
reader,cohort,2a,4,2025,within,1,128.0,24.6528
reader,cohort,2a,4,2025,within,2,256.0,34.375
reader,cohort,2a,4,2025,within,3,384.0,44.4444
reader,cohort,2a,4,2025,within,4,512.0,61.4583
reader,cohort,2a,4,2025,within,5,640.0,67.7083
reader,cohort,2a,4,2025,within,6,768.0,71.1806
reader,cohort,2a,4,2025,within,7,896.0,73.6111
reader,cohort,2a,4,2025,within,8,1024.0,72.2222
reader,cohort,2a,4,2025,within,9,1152.0,73.9583
reader,cohort,2a,4,2025,within,10,1280.0,79.8611
reader,cohort,2a,4,2025,within,11,1408.0,79.5139
reader,cohort,2a,4,2025,within,12,1536.0,79.5139
reader,cohort,2a,4,2025,within,13,1664.0,79.1667
reader,cohort,2a,4,2025,within,14,1792.0,78.8194
reader,cohort,2a,4,2025,within,15,1920.0,78.8194
reader,cohort,2a,4,2025,within,16,2048.0,78.8194
reader,cohort,2a,4,2025,within,17,2176.0,78.4722
reader,cohort,2a,4,2025,within,18,2304.0,79.8611
reader,cohort,2a,4,2025,within,19,2432.0,78.125
reader,cohort,2a,4,2025,within,20,2560.0,79.1667
reader,cohort,2a,4,2025,within,21,2688.0,78.4722
reader,cohort,2a,4,2025,within,22,2816.0,79.1667
reader,cohort,2a,4,2025,within,23,2944.0,80.9028
reader,cohort,2a,4,2025,within,24,3072.0,79.5139
reader,cohort,2a,4,2025,within,25,3200.0,80.9028
reader,cohort,2a,4,2025,within,26,3328.0,79.1667
reader,cohort,2a,4,2025,within,27,3456.0,81.25
reader,cohort,2a,4,2025,within,28,3584.0,79.8611
reader,cohort,2a,4,2025,within,29,3712.0,80.9028
reader,cohort,2a,4,2025,within,30,3840.0,79.5139
reader,cohort,2a,4,2025,within,31,3968.0,80.2083
reader,cohort,2a,4,2025,within,32,4096.0,78.4722
reader,cohort,2a,4,2026,within,1,128.0,25.0
reader,cohort,2a,4,2026,within,2,256.0,25.0
reader,cohort,2a,4,2026,within,3,384.0,31.9444
reader,cohort,2a,4,2026,within,4,512.0,56.25
reader,cohort,2a,4,2026,within,5,640.0,59.375
reader,cohort,2a,4,2026,within,6,768.0,68.4028
reader,cohort,2a,4,2026,within,7,896.0,74.3056
reader,cohort,2a,4,2026,within,8,1024.0,76.0417
reader,cohort,2a,4,2026,within,9,1152.0,76.0417
reader,cohort,2a,4,2026,within,10,1280.0,78.8194
reader,cohort,2a,4,2026,within,11,1408.0,78.125
reader,cohort,2a,4,2026,within,12,1536.0,79.5139
reader,cohort,2a,4,2026,within,13,1664.0,80.2083
reader,cohort,2a,4,2026,within,14,1792.0,81.25
reader,cohort,2a,4,2026,within,15,1920.0,82.2917
reader,cohort,2a,4,2026,within,16,2048.0,82.6389
reader,cohort,2a,4,2026,within,17,2176.0,81.9444
reader,cohort,2a,4,2026,within,18,2304.0,82.2917
reader,cohort,2a,4,2026,within,19,2432.0,82.6389
reader,cohort,2a,4,2026,within,20,2560.0,81.9444
reader,cohort,2a,4,2026,within,21,2688.0,82.2917
reader,cohort,2a,4,2026,within,22,2816.0,82.6389
reader,cohort,2a,4,2026,within,23,2944.0,84.7222
reader,cohort,2a,4,2026,within,24,3072.0,82.9861
